,Notes,Material,Long Material Description,Supplier,Location,PIGCOM,Comments,Leadtime,Tank_Drum_Size, Intransit ,Intransit_Notes, Stock_CH01 , Stock_CH10 , monthly Chemical Forecast , monthly Consumption (6months) , monthly Consumption (3months) , Consumption on Current Month , InHouse Stock InMonth ,StockSet InHouse & Intransit, Current InHouse & Intransit , Buy To StockSet , ByTank , revised To Buy , stock included Buy , Aveage ForeCast Consumption , current Chemical Demand ,InHouse vs. curOrders,InHouse vs. oneMonth,,
17,,104667,BINDER M-SM 118,GSC ITALY,O,-,-,80,1000, -   ,-, -   , -   , -   , -   ,, -   , -   ,4.7, -   , -   , -   ,,, -   , -   ,0 ,0 ,,
18,,104778,BINDEX SR 150,GSC ITALY,O,-,-,80,1000, -   ,-, -   , -   , -   , -   ,, -   , -   ,4.7, -   , -   , -   ,,, -   , -   ,0 ,0 ,,
19,,104756,BRITEX BLACK,SAMIA,O,COMPOUND,pigment EFF water,70,30, -   ,-, 660 , 69 , 6 , 8 , 5 , 7 , 145.80 ,4.3, 145.80 , -   , -   ,,, 6 , 3 ,726 ,723 ,,
20,,104807,BLU CONTEX T,SAMIA,O,PIGMENT,-,70,120, -   ,-, -   , -   , -   , -   ,, -   , -   ,4.8, -   , -   , -   ,,, -   , -   ,0 ,0 ,,
23,,104531,BLUE DHL,RINO MASTROTTO GROUP S.P.A,O,COMPOUND,-,0,1, -   ,-, -   , 240 , -   , -   , 1 , 0 , 240.00 ,2, 240.00 , -   , -   ,,, -   , -   ,240 ,240 ,,
24,,105017,SAMIANIL CB BLEU RP,SAMIA,O,-,-,70,1, -   ,-, 19 , 12 , -   , -   ,, -   , -   ,4.3, -   , -   , -   ,,, -   , -   ,31 ,31 ,,
25,,104770,CONTEX BLUE MARINE,SAMIA,O,PIGMENT,xai het khong mua nua,70,60, -   ,-, 360 , 19 , 1 , 11 , 11 , 7 , 34.45 ,4.8, 34.45 , -   , -   ,,, 1 , -   ,379 ,378 ,,
26,,105459,OXY CAR OCEAN BLUE HP,GSC,O,PIGMENT,GSC pigment,70,120, -   ,-," 1,200 ", 132 , 18 , 27 , 23 , 27 , 74.00 ,4.8, 74.00 , -   , -   ,,, 18 , 11 ,"1,321 ","1,314 ",,
27,,104534,BORDEAUX DHL,SYN-BIOS,O,COMPOUND,-,0,1, -   ,-, -   , -   , -   , -   ,, -   , -   ,2, -   , -   , -   ,,, -   , -   ,0 ,0 ,,
28,,104757,BRITEX BROWN,SAMIA,O,COMPOUND,pigment EFF water,70,30, -   ,-," 1,680 ", 111 , -   , 1 , 1 , -   ," 1,791.00 ",4.3," 1,791.00 ", -   , -   ,,, -   , -   ,"1,791 ","1,791 ",,
29,,104802,CONTEX BRUNO,SAMIA,O,PIGMENT,-,70,160, -   ,-, -   , -   , 2 , -   ,, -   , -   ,4.8, -   , 10 , 0.1 ,,, 2 , -   ,0 ,(2),,
30,,105467,OPERA BRUNO DL,GSC,O,PIGMENT,GSC pigment,70,150, -   ,-," 3,300 ", 387 , 446 , 229 , 210 , 266 , 8.27 ,4.8, 8.27 , -   , -   ,,, 446 , 219 ,"3,468 ","3,241 ",,
31,,104768,CONTEX BRUNO R,SAMIA,O,PIGMENT,-,70,60, -   ,-, -   , -   , 1 , -   ,, -   , -   ,4.8, -   , 5 , 0.1 ,,, 1 , -   ,0 ,(1),,
32,,105457,OXY CAR MOGANO HP,GSC,O,PIGMENT,GSC pigment,70,120, -   ,-," 2,640 ", 93 , 80 , 50 , 50 , 44 , 34.16 ,4.8, 34.16 , -   , -   ,,, 80 , 58 ,"2,675 ","2,653 ",,
33,,104798,CONTEX BRUNO V,SAMIA,O,PIGMENT,-,70,160, -   ,-, -   , -   , -   , -   ,, -   , -   ,4.8, -   , -   , -   ,,, -   , -   ,0 ,0 ,,
34,Will purchase on the next chimical metting,105461,OXY CAR BROWN VIOLET HP,GSC,O,PIGMENT,GSC pigment,70,160, 480 ,2023-04-10::480.0," 1,280 ", 394 , 590 , 282 , 271 , 392 , 2.84 ,4.8, 3.65 , 649 , 4.1 ,,, 590 , 290 ,"1,384 ","1,084 ",,
35,,105043,SAMIANIL CB BRUNO RP,SAMIA,O,PIGMENT,"xai het khong mua nua, chuyen qua mua Sella derm Brown",70,25, -   ,-, -   , 8 , 3 , 1 , 2 , 11 , 4.00 ,4.8, 4.00 , 6 , 0.3 ,,, 3 , 3 ,5 ,5 ,,
36,,105546,SELLA DERM BROWN M2,TFL Italy,O,COMPOUND,"pigment EFF nitro, KELA",85,25, -   ,-, 75 , 13 , -   , 3 , 2 , 2 , 44.00 ,4.8, 44.00 , -   , -   ,,, -   , 1 ,87 ,88 ,,
37,,104748,ISOLAC BRUNO,SAMIA,O,PIGMENT,"xai het khong mua, chuyen qua ""SHADE TAN""",70,10, 80 ,2023-04-15::80.0, 90 , 28 , 7 , 9 , 8 , 13 , 14.75 ,4.8, 24.75 , -   , -   ,,, 7 , 9 ,109 ,111 ,,
38,,105591,SHADE TAN/EJ,GSC,O,-,"pigment EFF nitro, KELA",70,10, -   ,-, -   , 6 , -   , -   ,, -   , -   ,4.3, -   , -   , -   ,,, -   , -   ,6 ,6 ,,
39,,104749,ISOLAC BRUNO  ROSSO,SAMIA,O,PIGMENT,"xai het khong mua, chuyen qua ""SHADE BROWN""",70,10, -   ,-, 330 , 93 , 24 , 22 , 23 , 23 , 17.63 ,4.8, 17.63 , -   , -   ,,, 24 , 18 ,405 ,399 ,,
40,,105592,SHADE BROWN/EJ,GSC,O,-,"pigment EFF nitro, KELA",70,10, -   ,-, -   , 9 , -   , -   ,, -   , -   ,4.3, -   , -   , -   ,,, -   , -   ,9 ,9 ,,
41,,104538,BUTILGLICOLE,SAMCHEM,D,-,-,14,188, -   ,-, -   , -   , -   , -   ,, -   , -   ,2.5, -   , -   , -   ,,, -   , -   ,0 ,0 ,,
42,,105282,BUTYL CELLOSOLVE (BCS),SAMCHEM,D,-,ve sinh kela,14,188, -   ,-, 188 , -   , -   , 63 , 125 , -   , 1.50 ,2.5, 1.50 , -   , -   ,,, -   , -   ,188 ,188 ,,
43,,104689,CERANIL D 1188,SAMIA,O,-,-,65,1, -   ,-, -   , -   , -   , -   ,, -   , -   ,4.2, -   , -   , -   ,,, -   , -   ,0 ,0 ,,
44,,104786,CERA ST,GSC ITALY,O,COMPOUND,THUNDER art,80,50, -   ,-, -   , 46 , -   , -   ,, 4 , -   ,4.7, -   , -   , -   ,,, -   , -   ,46 ,46 ,,
45,,105153,FYL WAX CERA ST,GSC ITALY,O,-,THUNDER,80,50, -   ,-, -   , -   , -   , -   ,, -   , -   ,4.7, -   , -   , -   ,,, -   , -   ,0 ,0 ,,
46,Will purchase on the next chimical metting,104541,CICLOESANONE *,Samchem,D,COMPOUND,EFF - FISS nitro,14,190, -   ,-," 1,140 ", 291 , 816 , 597 , 655 ," 1,141 ", 1.75 ,2.5, 1.75 , 571 , 3.0 ,,, 816 , 674 ,757 ,615 ,,
47,,104690,DC65,NG?C LAN,D,COMPOUND,"EFF water: GRETNA TT,HILLIARD TT, FLORIDA,JAVILLE TT",14,120, -   ,-, 120 , 99 , 2 , 8 , 1 , -   , 219.00 ,2.5, 219.00 , -   , -   ,,, 2 , -   ,219 ,217 ,,
