,Material,Long Material Description,Supplier,Location,PIGCOM,Comments,Leadtime,Tank_Drum_Size, Intransit ,Intransit_Notes, Stock_CH01 , Stock_CH10 , monthly Chemical Forecast , monthly Consumption (6months) , monthly Consumption (3months) , Consumption on Current Month , InHouse Stock InMonth ,StockSet InHouse & Intransit, Current InHouse & Intransit , Buy To StockSet , ByTank , revised To Buy , stock included Buy , Aveage ForeCast Consumption , current Chemical Demand ,InHouse vs. curOrders,InHouse vs. oneMonth,
90,104696,LAMSOFT W 81,UNICHEM,O,-,-,54,100, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!,3.8,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,
91,104709,LAMWAX 6,UNICHEM,O,-,-,54,120, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!,3.8,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,
92,104806,CONTEX LEMON C,SAMIA,O,PIGMENT,-,70,120, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!,4.8,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,
93,105469,OPERA LIMONE,GSC,O,PIGMENT,GSC pigment,70,120," 2,040 ",2023-04-24::360|||2023-05-14::1080|||NaT::600, -   , 215 , 443 , 233 , 280 , 173 , 0.49 ,4.8, 5.09 , -   , -   ,,, 443 , 62 ,153 ,(228),
94,104746,ISOLAC LEMON LP,SAMIA,O,PIGMENT,"xai het khong mua, chuyen qua  SHADE LEMON",70,10, -   ,-, -   , 10 , 20 , 7 , 3 , -   , 0.50 ,4.8, 0.50 , 86 , 8.6 ,,, 20 , 12 ,(2),(10),
95,105594,SHADE LEMON/EJ,GSC,O,-,"pigment EFF nitro, KELA",70,10, 50 ,2023-04-24::30|||NaT::20, -   , 31 , -   , 1 , 2 , 3 , 15.50 ,4.3, 40.50 , -   , -   ,,, -   , -   ,31 ,31 ,
96,104759,BRITEX LEMON ICE,SAMIA,O,-,-,70,1, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!,4.3,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,
97,104588,LS-8296,STAHL Singapore,O,COMPOUND,-,23,100, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!,2.8,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,
98,105353,LS-64-296 ,STAHL Europe,O,COMPOUND,THUNDER,83,100, -   ,-, 100 , -   , -   , -   ,, -   ,#DIV/0!,4.8,#DIV/0!, -   , -   ,,, -   , -   ,100 ,100 ,
99,104891,LS-64-256,STAHL Singapore,O,COMPOUND,"EMU, FIS 1,VINTAGE, EFF WILD",25,100," 1,500 ",NaT::1500," 1,300 ", 153 ," 1,422 ", 683 , 912 , 564 , 1.02 ,2.8, 2.08 , 995 , 10.0 ,,," 1,422 ", 296 ,"1,157 ",31 ,
