,Material,Long Material Description,Supplier,Location,PIGCOM,Comments,Leadtime,Tank_Drum_Size, Intransit ,Intransit_Notes, Stock_CH01 , Stock_CH10 , monthly Chemical Forecast , monthly Consumption (6months) , monthly Consumption (3months) ,InHouse Stock InMonth,StockSet InHouse & Intransit,Current InHouse & Intransit, Buy To StockSet , ByTank , revised To Buy , stock included Buy , Aveage ForeCast Consumption , current Chemical Demand ,InHouse vs. curOrders,InHouse vs. oneMonth,
81,104931,BINDER M-PR 400,GSC ITALY,O,COMPOUND,Compound,70,1000," 58,000 ",2023-02-15::10000.0|||2023-03-05::5000.0|||2023-03-21::2000.0|||2023-03-31::8000.0|||2023-03-21::10000.0|||NaT::18000.0|||NaT::5000.0," 9,000 "," 2,137 "," 31,604 "," 14,442 "," 16,025 ",0.5,4.3,2.9," 33,340 ", 33.3 ,,," 23,814 "," 20,227 ","-9,090","-12,677",
82,104932,BINDER W 212,GSC ITALY,O,COMPOUND,"Compound,NCC doi ten thanh (BINDER W 207)",70,1000, -   ,-," 1,000 ", 629 ," 10,277 "," 3,438 "," 3,548 ",0.2,4.3,0.2," 28,339 ", 28.3 ,,," 6,912 "," 5,846 ","-4,217","-5,283",
83,105151,BINDER W 207,GSC ITALY,O,-,ten moi BINDER W 212,70,1000," 8,000 ",2023-02-15::2000.0|||2023-03-21::3000.0|||NaT::3000.0," 2,000 ", -   , -   , -   ,,,4.3,0, -   , -   ,,,, -   ,"2,000",,
84,104928,RODA BASE 5615,TFL,O,COMPOUND,"FON or RIM article: AJAX TT, HERCULES TT,CAPRI,SAHARA KTT, RAVENNA,Maestro",83,120," 6,000 ",2023-03-27::6000.0, -   , -   ," 3,914 "," 1,578 "," 2,273 ",0,4.8,1.9," 8,973 ", 74.8 ,,," 3,094 "," 2,643 ","-2,643","-3,094",
85,104987,BUTIL DIGLYCOL,SAMCHEM,D,COMPOUND,-,14,200, -   ,-, -   , -   , 86 , -   ,,,2.5,0, -   , -   ,,,, 77 ,-77,,
86,105283,BUTYL CARBITOL (BC),SAMCHEM,D,COMPOUND,add on FISS water,14,200, -   ,-, 400 , 646 , 1 , 85 , 49 ,41.8,2.5,41.8, -   , -   ,,, 25 , -   ,"1,046","1,021",
87,104579,LAMOIL GS,UNICHEM,O,-,-,0,1, -   ,-, -   , -   , -   , -   ,,,2,0, -   , -   ,,,, -   ,0,,
88,104730,LAMSOFT SW16,UNICHEM,O,-,replace with Roda Feel 768N,54,100, -   ,-, -   , -   , -   , -   ,,,3.8,0, -   , -   ,,,, -   ,0,,
89,105263,RODA FEEL 768/ N,TFL,O,COMPOUND,"Tato Milling art ELLINGTESSE K TT, add on FISS water",83,30, -   ,-," 1,380 ", 86 , 5 , 15 , 5 ,293.2,4.8,293.2, -   , -   ,,, 5 , -   ,"1,466","1,461",
90,104696,LAMSOFT W 81,UNICHEM,O,-,-,54,100, -   ,-, -   , -   , -   , -   ,,,3.8,0, -   , -   ,,,, -   ,0,,
91,104709,LAMWAX 6,UNICHEM,O,-,-,54,120, -   ,-, -   , -   , -   , -   ,,,3.8,0, -   , -   ,,,, -   ,0,,
92,104806,CONTEX LEMON C,SAMIA,O,PIGMENT,-,70,120, -   ,-, -   , -   , 4 , -   ,,,4.8,0, -   , -   ,,,, 9 ,-9,,
93,105469,OPERA LIMONE,GSC,O,PIGMENT,GSC pigment,70,120, 360 ,NaT::360.0, 720 , 276 , 321 , 176 , 174 ,4,4.8,5.5, -   , -   ,,, 248 , 149 ,847,748,
94,104746,ISOLAC LEMON LP,SAMIA,O,PIGMENT,"xai het khong mua, chuyen qua  SHADE LEMON",70,10, -   ,-, -   , 19 , 13 , 10 , 7 ,1.9,4.8,1.9, 29 , 2.9 ,,, 10 , 5 ,14,9,
95,105594,SHADE LEMON/EJ,GSC,O,-,"pigment EFF nitro, KELA",70,10, -   ,-, 40 , 2 , -   , -   ,,,4.3,0, -   , -   ,,,, -   ,42,,
96,104759,BRITEX LEMON ICE,SAMIA,O,-,-,70,1, -   ,-, -   , -   , -   , -   ,,,4.3,0, -   , -   ,,,, -   ,0,,
97,104588,LS-8296,STAHL sigapore,O,COMPOUND,-,23,100, -   ,-, -   , -   , -   , -   ,,,2.8,0, -   , -   ,,,, -   ,0,,
98,105353,LS-64-296 ,STAHL Europe,O,COMPOUND,THUNDER,83,100, -   ,-, 100 , -   , -   , -   ,,,4.8,0, -   , -   ,,,, -   ,100,,
99,104891,LS-64-256,STALH Singapore,O,COMPOUND,"EMU, FIS 1,VINTAGE, EFF WILD",25,100," 1,000 ",NaT::1000.0, -   , 433 , 936 , 480 , 408 ,0.6,2.8,2.1, 470 , 4.7 ,,, 672 , 593 ,-160,-239,
