,Material,Component_Description,JAN_23,FEB_23,MAR_23,APR_23,MAY_23,JUN_23
1029,105263,RODA FEEL 768/ N,1.8,3.25,8.175,27.974,11.617,1.915
1030,105265,AQUALEN TOP ATP,0.0,0.0,0.0,0.0,0.0,0.0
1031,105266,MELIO RESIN A-946,0.0,0.0,0.0,0.0,0.0,0.0
1032,105267,LEPTON BINDER SP,0.0,0.0,0.0,0.0,0.0,0.0
1033,105273,BUSAN 100,0.0,0.0,0.0,0.0,0.0,0.0
1034,105274,BUSAN 7654,0.0,0.0,0.0,0.0,0.0,0.0
1035,105275,PP-11-380,0.0,0.0,0.0,5.0,0.0,0.0
1036,105277,EUKESOLAR TURCHESE EB,0.0,0.0,0.0,0.0,0.0,0.0
1037,105278,LEVADERM YELLOW WB EXP 2210,0.0,0.0,13.3,0.0,0.0,0.0
1038,105279,LEVADERM LEMON WB EXP 2303,0.0,0.0,3.3,0.0,0.0,0.0
1039,105280,SELLADERM LIMONE M2,0.0,0.0,0.0,0.0,0.0,0.0
1040,105281,RODA DYE BLACK NF,0.0,0.0,0.0,0.0,0.0,0.0
1041,105282,BUTYL CELLOSOLVE (BCS),0.0,188.0,0.0,188.0,0.0,188.0
1042,105283,BUTYL CARBITOL (BC),47.632,142.606,141.583,134.023,124.03,134.525
1043,105284,LEVADERM LIGHT BROWN WB EXP 2256,0.0,0.0,20.6,0.0,0.0,0.0
1044,105285,LEVADERM LEMON,0.0,0.0,0.0,0.0,0.0,0.0
1045,105286,LEVADERM GREEN WB EXP 2215,0.0,0.0,26.2,0.0,0.0,0.0
1046,105287,LEVADERM GREY WB EXP 2219,0.0,0.0,13.3,0.0,0.0,0.0
1047,105288,MK REFLEX ZAFFERANO,0.0,0.0,0.0,0.0,0.0,0.0
1048,105289,MK REFLEX EBANO,0.0,0.0,0.0,0.0,0.0,0.0
1049,105290,MK REFLEX CILIEGIO,0.0,0.0,0.0,0.0,0.0,0.0
1050,105291,MK REFLEX TURCHESE,0.0,0.0,0.0,0.0,0.0,0.0
1051,105299,MK REFLEX SMERALDO,0.0,0.0,0.0,0.0,0.0,0.0
1052,105302,RA-2,0.0,0.0,0.0,0.0,0.0,0.0
1053,105303,MK REFLEX MELANZANA,0.0,0.0,0.0,0.0,0.0,0.0
1054,105304,EXP COVER DDR/01,0.0,0.0,0.0,0.0,0.0,0.0
1055,105305,Busan 1346,0.175,0.15,0.1,0.0,0.0,0.0
1056,105310,RODA LAC S 214/N,2004.548,2774.252,4227.541,4463.369,2521.553,3351.581
1057,105311,MK REFLEX RUBINO,0.0,0.0,10.0,0.0,0.0,0.0
1058,105313,PP 8030,0.0,0.0,0.0,0.0,0.0,0.0
1059,105314,PP 8031,0.0,0.0,0.0,0.0,0.0,0.0
1060,105315,PP 8045,0.0,0.0,0.0,0.0,0.0,0.0
1061,105316,PP 8055,0.0,0.0,0.0,0.0,0.0,0.0
1062,105317,PP 8040,0.0,0.0,0.0,0.0,0.0,0.0
1063,105318,MK REFLEX CASTAGNO,0.0,0.0,0.0,0.0,0.0,0.0
1064,105319,MK REFLEX AMBRA,0.0,0.0,0.0,0.0,0.0,0.0
1065,105321,BASEMUSK 5500,0.0,0.0,0.0,0.0,0.0,0.0
1066,105322,PEARL GOLD,0.0,0.0,0.0,0.0,0.0,0.0
1067,105323,PEARL BRONZE,0.0,0.0,0.0,0.0,0.0,0.0
1068,105324,PEARL COPPER,0.0,0.0,0.0,0.0,0.0,0.0
1069,105325,PEARL WHITE - IRIODIN,0.0,0.0,0.0,0.0,0.0,0.0
1070,105326,SU-16-235,0.0,0.0,0.0,0.0,0.0,0.0
1071,105330,DOWELLISH TOP G7081,0.0,0.0,0.0,0.0,0.0,0.0
1072,105333,BINDER BASE PF,0.0,0.0,0.0,0.0,0.0,0.0
1073,105336,EX-SU-76-235,770.162,1228.924,1716.775,1504.437,1009.688,1215.791
1074,105337,PM-4700,0.0,0.0,0.0,0.0,0.0,0.0
1075,105339,BASEMASK 5901,0.0,0.0,0.0,0.0,0.0,0.0
1076,105340,EXP SYNTAL 1,0.0,0.0,0.0,0.0,0.0,0.0
1077,105343,CONTEX ARANCIO HTR,0.0,0.0,0.0,0.0,0.0,0.0
1078,105344,CONTEX BLACK NIR,0.0,0.0,0.0,0.0,0.0,0.0
1079,105345,CONTEX BORDO',0.0,0.0,0.0,0.0,0.0,0.0
1080,105346,CONTEX GIALLO SOLE,0.0,0.0,0.0,0.0,0.0,0.0
1081,105347,CONTEX VIOLA B,0.0,0.0,0.0,0.0,0.0,0.0
1082,105348,CONTEX VIOLETTO HTR,0.0,0.0,0.0,0.0,0.0,0.0
